courseno,Course prefix,Course code,Course name,Program,Description,Credit hours,Lecture hours,Tutorial hours,Note(s),Credit restriction(s),Prerequisite(s),Laboratory hours,Experiential learning,Recommended,Cross-listed,Other hours,Prerequisite(s) with concurrency,Corequisite(s),Fee
10,AUTE,4090U,Autonomous Vehicles,Automotive Engineering,"This course provides an overview of autonomous vehicles. The overall architecture of autonomous driving systems, the various levels of autonomous driving technologies, and the state‐of‐the‐art of autonomous driving technologies will be discussed. Topics covered include: advanced driver assist systems and active vehicle safety systems; sensors and sensor fusion; computer vision basics and deep learning for perception; localization and mapping; vehicle‐to‐vehicle and vehicle‐to‐everything communication technologies; navigation and vehicle control; and system reliability, stability, and limitations.",3,3,1,,,(MECE 3390U or AUTE 3500U ) and AUTE 3010U,,,,,,,,
11,AUTE,4100U,Road Vehicle Aerodynamics,Automotive Engineering,"This course covers the theory and effects of aerodynamics of road vehicles. Topics include: aerodynamic drag analysis (including drag, lift, boundary layer, side force and moment and sources of drag); aerodynamic design; computational aerodynamics; experimental testing; options for vehicle body design modification to improve aerodynamic performance; lateral wind effects on vehicle stability; noise and vehicle soiling; and internal aerodynamics and cooling systems.",3,3,,,,MECE 2860U,2 (biweekly),,,,,,,
12,BIOL,1000U,Foundations in Bioscience,Biology,"This course will provide an early introduction to the practical skills that are essential to the Biological Sciences program. Areas covered will include basic principles of measurement and analysis, hypothesis testing and how to approach a laboratory experiment, communication in biology, reading and writing scientific papers, data analysis and interpretation and problem solving. This course will also cover the skills needed to be successful in learning the fundamental knowledge covered in the biological sciences program such as how to tackle course material and exams.",3,3,,,,Grade 12 Biology (SBI4U) (recommended),,Yes,,,,,,
13,BIOL,1010U,Biology I: Molecular and Cellular Systems,Biology,"This course examines the evolutionary basis of life at the cellular level. Topics will include the basic structure and function of cells, cell energetics and respiration, photosynthesis, the structure and function of DNA, the control of gene expression, cell division and the evolution of multicellularity.",3,3,,Students without the biology prerequisite will be responsible for making up background material.,"BIOL 1011U , BIOL 1840U and  BIOL 1841U",,3 (biweekly),Yes,Grade 12 Biology (SBI4U),,,,,
14,BIOL,1011U,Introductory Cell and Molecular Biology,Biology,"This course is appropriate for non‐biology or non-chemistry related majors and provides an overview of the properties of cells and the key cellular processes of living organisms. Topics will include the basic structure and function of cells, cell energetics and respiration, photosynthesis, the structure and function of DNA, the control of gene expression, cell division and the evolution of multicellularity.",3,3,,Students without the biology prerequisite will be responsible for making up background material.,"BIOL 1841U , BIOL 1840U, BIOL 1010U",,,,Grade 12 Biology (SBI4U),BIOL 1010U,,,,
15,BIOL,1020U,Biology II: Diversity of Life and Principles of Ecology,Biology,"This course explores the diversity of protists, fungi, plants and animals. It addresses the evolutionary relationships of these organisms and how each is uniquely adapted to survive and reproduce. The second half of the course introduces the main concepts and principles of ecology and gives a basic understanding of populations and communities and ecosystems.",3,3,,,BIOL 1021U,BIOL 1010U,3 (biweekly),Yes,,,,,,
16,BIOL,1021U,Introduction to Organismal Biology and Ecology,Biology,"This course is appropriate for non-biology or non-chemistry related majors. The first half of the course explores diversity of organisms such as protists, fungi, plants and animals. It addresses the evolutionary relationships of these organisms and how each is uniquely adapted to survive and reproduce. The second half of the course introduces the main concepts and principles of ecology and gives a basic understanding of populations, communities and ecosystems.",3,3,,,BIOL 1020U,BIOL 1011U,,,,BIOL 1020U,,,,
17,BIOL,1841U,Essentials of Biology,Biology,"This course examines the evolutionary basis of life and the structure and function of living organisms. The major tissues, organs, and organ systems and their development from simple structures to more complicated systems will be examined.",3,3,,This course is offered in an online format with three hours of online lectures and self-learning material.,"BIOL 1010U , BIOL 1011U and BIOL 1840U",,,,,,,,,
18,BIOL,2010U,Human Physiology,Biology,"Overview of the physiology of major human organ systems. Topics include the physiology of the nervous system, muscle, the cardiovascular and respiratory system, as well as the gastrointestinal, urinary, reproductive and endocrine systems. Clinical connections will be made when appropriate to current real-world human health topics. Laboratories will reinforce the lecture topics and allow students to apply their knowledge in an experimental setting.",3,3,,,,BIOL 1020U,3 (biweekly),Yes,,,,,,
19,BIOL,2020U,Genetics and Molecular Biology,Biology,"An introduction to the fields of genetics and molecular biology. Topics include the science of inheritance, DNA structure and replication, meiosis, regulation of gene expression, sex-linked inheritance, analyzing inheritance and heredity, human genetic disorders, and the molecular biology technology on which DNA cloning, and construction of recombinant DNA and of transgenic organisms are based on.",3,3,,,"HLSC 3463U , BIOL 2840U",BIOL 1020U,3 (biweekly),Yes,,,,,,
20,BIOL,2030U,Cell Biology,Biology,Provides a basic knowledge of the structural and functional properties of cells. Emphasizes the mechanisms by which signalling molecules and the process of signal transduction integrate and co-ordinate the functions of many individual cells in a multi-cellular organism. Explores factors regulating the cell cycle and growth.,3,3,,,BIOL 2840U,BIOL 1020U,3 (biweekly),Yes,,,,,,
21,BIOL,2050U,Human Anatomy,Biology,"This course is an introduction to the study of body structure with a strong emphasis on human anatomy. Emphasis will be put on the description of bones and joints, muscles, nerves, and blood vessels and lymphatics. The structure of various organs found in the thoracic, abdominal and pelvic cavities will also be described.",3,3,,,,BIOL 2010U,3 (biweekly),Yes,,,,,,
22,BIOL,2060U,Fundamentals of Microbiology,Biology,"This course provides an introduction to key and current concepts in microbiology. Topics include bacterial cell structure, function and genetics, metabolism, growth and cultivation, prokaryotic classification and systematics, microbial diversity, microbe-host interactions and applications. An introduction to viruses and to eukaryotic pathogens will be included, and strategies for dealing with infectious microbes through antimicrobial therapies will be integrated throughout. Key features of the immune response to infection will be introduced. An understanding of the immune system and its responses to infection is important to understanding interactions with microorganisms.",3,3,,,"BIOL 2830U , BIOL 3030U, MLSC 2130U",BIOL 2030U,,,,,,,,
23,BIOL,2080U,Biochemistry I,Biology,"This course examines the chemical nature of the building blocks found in cells. The topics covered include an overview of organic chemistry principles that relate to biological systems; protein structures and functions; enzymes thermodynamics, kinetics and regulation; lipids structures and functions; role of lipids and proteins in the structure of biological membranes; nucleotides and the structure of nucleic acids; the biochemistry of DNA replication, transcription and translation; carbohydrate structures and functions, and introduction to metabolism.",3,3,2,,BIOL 1800U and BIOL 2040U,BIOL 1020U and CHEM 2020U,,,,,,,,
24,BIOL,2090U,Research in Biological Science I,Biology,"The course involves carrying out research work in a biology research laboratory under the supervision of a faculty member. The course will provide hands-on laboratory research experience and exposure to a particular biological discipline. The student will participate in the formulation of research objectives and the experimental design used in the study. Students must have a written approval of the prospective supervisor to enroll in the course. Enrollment in this course is generally restricted to students in the Biological Science program, but students from other Faculty of Science programs can also apply. The expected learning outcomes will be appropriate for the year level and will be defined by the supervisor and included in the acceptance letter. If the student is working in the capacity of a work-study student, enrolled in additional courses within the Undergraduate Research Program or a thesis/Directed Studies student in the supervisor’s laboratory, the research project of this course must be in a different topic. A minimum of six hours of laboratory work will be required per week. To be considered for this course, students must have successfully completed first year (30 credit hours) as well as the required prerequisite courses, and be in clear academic standing (cumulative GPA of 2.0 or better). Additional prerequisite courses may be required depending on research project.",3,,,,,BIOL 2010U and BIOL 2030U and second year level or higher and clear academic standing. Additional prerequisite courses may be required depending on research project.,6,Yes,,,,,,
25,BIOL,2830U,Microbiology for Health Science,Biology,"Introductory microbiology is a survey study of the comparative biology of microorganisms, directed toward students in health and biological science programs. Common infectious diseases will be examined using a body systems approach. Online tutorial activities will focus on correct aseptic principles, identification of organisms and diagnostic microbiology. Core concepts will be presented and studied in ways that prepare students to apply their understanding in practice in their specific discipline.",3,3,,,"BIOL 1820U, BIOL 2060U , BIOL 3030U, MLSC 2130U",HLSC 1201U or HLSC 2202U,,Yes,,,,,,
26,BIOL,3010U,Laboratory Methods in Molecular Biology,Biology,"Laboratory-based instruction in the basic methodologies used in the construction of recombinant DNA molecules and construction of transgenic organisms. Students will develop technical skills commonly used in the field of molecular biology, practical knowledge sufficient to perform basic procedures independently, and to analyze experimental results obtained with these techniques.",3,,,,BIOL 4041U,BIOL 2020U and BIOL 2080U,6,Yes,Students are recommended to take BIOL 3032U prior to taking this course.,,,,,
27,BIOL,3020U,Principles of Pharmacology and Toxicology,Biology,"An overview of the action and toxicity of drugs that affect the autonomic nervous system, the central nervous system, and cardiovascular function in both normal and pathological conditions. Toxicological effects of food, food additives, household and industrial products and wastes will also be examined.",3,3,,,,BIOL 2010U and (BIOL 2030U or CHEM 3250U ) and (BIOL 2080U or BIOL 2040U),,,,,,,,
28,BIOL,3032U,Advanced Microbiology,Biology,"This course explores advanced topics in microbiology, including microbial diversity, bacterial physiology and metabolism, microbial genetics and microbe-host interactions. Applications of microbiology in the food, pharmaceutical, biotechnology and biomedical industries will also be examined. This course will be offered in a hybrid format, involving both lectures combined with online lectures and self-learning material. ",3,3,,BIOL 3032U is a required course for students in Pharmaceutical Biotechnology.,BIOL 1820U and BIOL 2830U and BIOL 3030U,BIOL 2020U and BIOL 2060U and BIOL 2080U,4,Yes,,,,,,
29,BIOL,3040U,Animal Physiology,Biology,Examines the close relationship between structure and function from the molecular to cellular to organic level and the processes by which regulation of physiological functions occur in animals with a particular focus on mammalian systems. Emphasis is placed on the sensing and signaling systems (nervous and endocrine) and then on the effector systems (muscles and glands). Laboratories reinforce the concepts introduced in lecture and focus on relevant skills required to succeed in modern biological and health research.,3,3,,,,BIOL 2010U and BIOL 2030U and (BIOL 2080U or BIOL 2040U),3 (biweekly),Yes,,,,,,
30,BIOL,3051U,Developmental Biology,Biology,"Emphasizes principles and key concepts that govern the process of development in vertebrates, with some examples from invertebrate models. Examines how a single fertilized cell gives rise to hundreds of differentiated cells, how differentiated cells are organized into tissues and organs, how the growth of cells is regulated and how an adult transmits the instructions for making an organism from one generation to the next.",3,3,,,BIOL 3050U,BIOL 2020U and  BIOL 2030U,,,,,,,,
31,BIOL,3060U,Fundamentals of Neuroscience,Biology,"Neuroscience is the study of the nervous system and how it operates at the organism level with respect to behaviour, learning and memory. This course provides a broad introduction to neuroscience. The topics covered range from the molecular and cellular mechanisms underlying neural function to an introduction to complex behaviours such as thought and language.",3,3,,,,BIOL 2030U and BIOL 2050U,3 (biweekly),Yes,,,,,,
32,BIOL,3080U,Biochemistry II,Biology,"This course is a continuation of Biochemistry I and will focus on the integration and control of carbohydrate, lipid, protein and nucleic acid metabolism at both the cellular and organ levels. This course will explore the energy transduction associated with catabolism and anabolism, and the molecular biochemistry of gene and hormone regulation.",3,3,2,,BIOL 2040U,BIOL 2080U,,Yes,,,,,,
33,BIOL,3090U,Research in Biological Science II,Biology,"The course involves carrying out research work in a biology research laboratory under the supervision of a faculty member. The course will provide hands-on laboratory research experience and exposure to a particular biological discipline. The student will participate in the formulation of research objectives and the experimental design used in the study. Students must have a written approval of the prospective supervisor to enroll in the course. Enrollment in this course is generally restricted to students in the Biological Science program, but students from other Faculty of Science programs can also apply. The expected learning outcomes will be appropriate for the year level and will be defined by the supervisor and included in the acceptance letter. If the student is working in the capacity of a work-study student, enrolled in additional courses within the Undergraduate Research Program or a thesis/Directed Studies student in the supervisor’s laboratory, the research project of this course must be in a different topic. A minimum of six hours of laboratory work per week is required. To be considered for this course, students must have successfully completed second year (60 credit hours) as well as the required prerequisite courses, and be in clear academic standing (cumulative GPA of 2.0 or better). Additional prerequisite courses may be required depending on research project.",3,,,,,BIOL 2010U and BIOL 2030U and BIOL 2020U and BIOL 2060U and BIOL 2080U and third year level or higher and clear academic standing. Additional prerequisite courses may be required depending on research project.,6,Yes,,,,,,
34,BIOL,3091U,Research in Biological Science III,Biology,"The course involves carrying out research work in a biology research laboratory under the supervision of a faculty member. The course will provide hands-on laboratory research experience and exposure to a particular biological discipline. The student will participate in the formulation of research objectives and the experimental design used in the study. Students must have a written approval of the prospective supervisor to enroll in the course. Enrollment in this course is generally restricted to students in the Biological Science program, but students from other Faculty of Science programs can also apply. The expected learning outcomes will be appropriate for the year level and will be defined by the supervisor and included in the acceptance letter. If the student is working in the capacity of a work-study student, enrolled in additional courses within the Undergraduate Research Program or a thesis/Directed Studies student in the supervisor’s laboratory, the research project of this course must be in a different topic. A minimum of six hours of laboratory work per week is required. To be considered for this course, students must have successfully completed second year (60 credit hours) as well as the required prerequisite courses, and be in clear academic standing (cumulative GPA of 2.0 or better). Additional prerequisite courses may be required depending on research project.",3,,,,,BIOL 3090U and third year level or higher and clear academic standing. Additional prerequisite courses may be required depending on research project.,6,Yes,,,,,,
35,BIOL,3110U,Population Genetics,Biology,"This course introduces the student to the study of allele frequencies in populations, concentrating on mathematical, theoretical and evolutionary concepts including random mating, Hardy-Weinberg equilibrium, linkage equilibrium, coalescence, inbreeding, genetic drift, mutation, effective population size and natural selection. The role and significance of molecular genetics, including next generation sequencing (NGS) techniques as they relate to population genetics, evolution, systematics and phylogeny are also considered and explored. Population genetics concepts in this course will be focused (although not exclusively) within a forensic context and, in particular, the formation of short tandem repeat (STR) allelic databases, estimating the weight of forensic DNA profile match evidence, and as well as understanding the genetic evidence underlying human evolution and migration. However, the population genetics concepts learned in this course are applicable for understanding and studying populations of all living organisms. ",3,3,,,FSCI 3110U,(MATH 1015U or MATH 1000U or MATH 1010U ) and BIOL 1020U and BIOL 2020U and STAT 2020U,,,,FSCI 3110U,,,,
36,BIOL,3610U,Comparative Zoology,Biology,"Provides a general knowledge of the biology of both invertebrates and vertebrates. Various concepts related to form, function, ecology and evolution will be emphasized and compared in the lecture material. Diversity within each phylum will be examined and adaptive explanations will be sought for how these organisms have adapted to the environment.",3,3,,,,BIOL 2010U,,Yes,,,,,,
37,BIOL,3620U,Conservation Biology,Biology,"Designed to help students of biodiversity develop practical skills and knowledge that they can use in their professional and personal lives. Integrates local (Ontario), regional (Canada) and global scales of diversity, both of life and of our human responses to these issues. The first unit explores the diversity of species and the genetic basis for their evolution and adaptation. The tools used to measure biodiversity are introduced and the moral and management issues involved in the protection of biodiversity are addressed.",3,3,,,,BIOL 2020U,,Yes,,,,,,
38,BIOL,3640U,Plant Biology,Biology,"This course is an introduction to plant biology, including an emphasis on the form and function of vascular plants. In addition to functional and anatomical characteristics of vascular plants, plant nutrition, plant-soil interactions, and biotechnological advances will be covered.",3,3,,,,BIOL 2030U,,,,,,,,
39,BIOL,3650U,Fundamentals of Nutrition,Biology,"This course provides the basic concepts for the study of human nutrition. Topics will include Canadian nutrition guidelines, label literacy, evaluation of good quality nutritional information, macronutrient and micronutrient nutrition, fibre and energy metabolism. The structure and function of macronutrients and fibre, their digestion, absorption and metabolism in the body and their implications for health at various life stages will be discussed.",3,3,,,HLSC 2820U,BIOL 2010U,,Yes,,,,,,
40,BIOL,3660U,Ecology,Biology,"This course is an introduction to general ecology, including current theories and practices. Fundamentally, ecology is the study of the distribution of organisms and their interactions with the environment. These interactions occur at the level of individuals, populations, communities and ecosystems. As such, the design of the course topic areas will follow this hierarchical structure.",3,3,,,,BIOL 1020U  or BIOL 1021U,,Yes,,,,,,
41,BIOL,3810U,Introduction to the World Ocean,Biology,"This course is part of the Biological Science – Marine Biology Specialization and is offered by the Bermuda Institute of Ocean Sciences (BIOS). The course is only open to students enrolled in the Marine Biology specialization and can only be taken as part of the semester abroad with BIOS. This introductory oceanography course provides an essential foundation for students with an interest in any branch of marine science. Oceanography traditionally includes the four sub-disciplines of geological oceanography, chemical oceanography, physical oceanography and biological oceanography. Each of these sub-disciplines are discussed at an introductory level. As time and opportunity permit, the lectures may be complemented by field trips.",3,3hrs/week (14 weeks),,,,"Enrolment in the Marine Biology specialization, 3 year level standing, and faculty approval.",,Yes,,,,,,
42,BIOL,3820U,Marine Ecology,Biology,"This course is part of the Biological Science – Marine Biology Specialization and is offered by the Bermuda Institute of Ocean Sciences (BIOS). The course is only open to students enrolled in the Marine Biology specialization and can only be taken as part of the semester abroad with BIOS. The objective of the course is to provide a basic grounding in ecological principles using marine examples, and to discuss the factors that influence the distribution, abundance and diversity of marine organisms. Tropical marine ecosystems will be the focus of this class, primarily coral reef, seagrass and mangrove ecology. Students start with an introduction into the ocean environment and marine life, covering primary production and abiotic factors affecting life in the sea, and then explore the habitat ecology of coral reefs. The class will then progress to looking at trophic levels and energy transfer, and then will explore seagrass and mangrove communities. The ecological processes of disturbance and competition and life history strategies will then be explained using marine examples, and we will finish with a consideration of human impacts to the marine environment and conservation management. The integrated field trips and laboratory work are designed to provide experience in commonly used marine ecological field sampling techniques and in scientific writing.",6,6 hrs/week (7 weeks),,,,"Enrolment in the Marine Biology specialization, 3 year level standing, and faculty approval.",10 hrs/week (7 weeks),Yes,,,,,,
43,BIOL,3830U,Coral Reef Ecology,Biology,"This course is part of the Biological Science – Marine Biology Specialization and is offered by the Bermuda Institute of Ocean Sciences (BIOS). The course is only open to students enrolled in the Marine Biology specialization and can only be taken as part of the semester abroad with BIOS. Basic ecological principles using coral reefs as examples. Biology of corals, primary production, nutrient cycling, diseases, reef fishes, predation, feeding ecology and human impact. Extensive underwater studies. An intensive integrated introduction comprised of lectures, required reading, laboratory exercises and field surveys. The lectures cover a broad range of relevant topics in coral reef ecology that are supplemented by readings from the primary literature with attention given to active areas of research. The lab work is focused on training in practical techniques.",3,6 hrs/week (7 weeks),,,,"Enrolment in the Marine Biology specialization, 3 year level standing, and faculty approval.",6 hrs/week (7 weeks),Yes,,,,,,
44,BIOL,3840U,Marine Invertebrate Zoology,Biology,"This course is part of the Biological Science – Marine Biology Specialization and is offered by the Bermuda Institute of Ocean Sciences (BIOS). The course is only open to students enrolled in the Marine Biology specialization and can only be taken as part of the semester abroad with BIOS. Marine invertebrate zoology consists of lectures closely followed by hands-on field and laboratory work. Due to the Gulf Stream, Bermuda is home to unique assemblages of semi-tropical invertebrates thriving in the most northern coral reefs, mangrove forests and tropical seagrass beds in the Atlantic; these and other semi-tropical habitats are visited during the course. This course surveys the major phyla of marine invertebrates focusing on Bermudian examples.",3,6 hrs/week (7 weeks),,,,"Enrolment in the Marine Biology specialization, 3 year level standing, and faculty approval.",6 hrs/week (7 weeks),Yes,,,,,,
45,BIOL,4010U,Introduction to Environmental Research Methods,Biology,"Introduction to methods of developing, evaluating and using evidence in environmental studies. Methods for summarizing and critical appreciation of data describing environmental systems. Skill development in applying statistical techniques and in using microcomputers as a research tool.",3,3,,,,STAT 2020U or STAT 2010U,,Yes,STAT 3010U,,,,,
46,BIOL,4020U,Introduction to Environmental Toxicology,Biology,"An introductory course using the concepts from ecology and toxicology to understand the principles of ecotoxicology. Topics will include an exploration of the complex interactions that lead to contaminant issues in ecosystems, types of toxicological responses in wildlife, and the methodologies used in lab and field settings to examine the effects of contaminants in the environment.  With this background, ‘real-world’ applications such as adverse outcome pathways, environmental risk assessment and management, traditional environmental knowledge, and environmental policy will be introduced.",3,3,,,,BIOL 3020U,,,BIOL 3660U (recommended prerequisite or corequisite),,,,,
47,BIOL,4030U,Advanced Topics in Environmental Toxicology,Biology,"This course will build on the fundamental principles covered in BIOL 4020U , and explore advanced topics in environmental toxicology. Topics will include: in-depth study of the environmental toxicity of contaminant classes, animal alternatives and non-lethal environmental monitoring, behavioral toxicology, toxicogenomics, and sources of variation in ecotoxicology and environmentally relevant experimental design. Career paths in ecotoxicology will be explored, and assignments will focus on communicating environmental toxicology information to different end-users (i.e. the media, the public, industry, and government policy makers).",3,3,,,,BIOL 4020U,,Yes,,,,,,
48,BIOL,4031U,Infection and Immunity,Biology,"An advanced course building on basic concepts in microbiology and immunology. The focus is on host-pathogen interactions, current concepts in cellular microbiology, host responses, and immunology. Selected bacterial, viral and parasitic pathogens will be discussed in depth, exploring host evasion, host impact and host response strategies. Current concepts in immunology will include vaccine development, immunotherapeutics, immunopharmacology, autoimmune disease, transplantation and immunodeficiency, integrating current research issues.",3,3,,,BIOL 3031U,BIOL 2030U and (BIOL 3030U or BIOL 2060U or HLSC 2461U ),,Yes,,,,,,
49,BIOL,4040U,Applied Molecular Biology,Biology,"A comprehensive study of the molecular biology-based techniques used in biotechnology, basic research, treatment of disease, food production and forensic science. Applications of these techniques will be illustrated using recently published original research journal articles.",3,3,,,,Students must have completed 90 credit hours in their program and have at least one 3000-level BIOL course.,,Yes,,,,,,
50,BIOL,4050U,Advanced Topics in Pharmaceutical Biotechnology,Biology,"This course will provide students with an overview of the pharmaceutical industry utilizing examples of pharmaceutical products approved for medical use. This course will highlight the fundamental research and industrial applications of pharmaceutical biotechnology including protein engineering, drug discovery, drug design, safety and quality assurance.",3,3,,,,BIOL 3020U and (BIOL 3080U or CHEM 4510U ),,Yes,,,,,,
51,BIOL,4052U,Advanced Developmental Biology Laboratory,Biology,"This advanced hands-on laboratory course will focus on early development of vertebrates and invertebrates, with emphasis on the underlying principles and molecular mechanisms involved in differentiation, growth, morphogenesis and patterning. Students will have the opportunity to explore a wide variety of modern experimental techniques currently used in developmental biology. Students will learn to manipulate and examine developmental processes, and interpret and present their results. In addition, this course will provide students with valuable laboratory, analytical and problem solving skills that are relevant to modern biological and health research. Enrolment in this course is generally restricted to students in the Environmental Toxicology and Biotechnology streams. Students from other Faculty of Science programs that wish to take this course must have a minimum GPA of 2.7 and approval from the program director. ",3,,,,BIOL 3050U,BIOL 2020U and BIOL 2030U and BIOL 3051U,4,Yes,,,,,,
52,BIOL,4060U,Functional Genomics and Proteomics,Biology,"An overview of genomics (the study of the structure and function of complete sets of genes of a genome) and proteomics (the study of the structure and function of the complete set of proteins that the genome expresses). The complexity of genes, genome organization, protein structure and methods used for analysis will be discussed from both an historical and current perspective. The practical use of software tools for analysis of genomic and proteomic data will be introduced.",3,3,,,,BIOL 4070U,,Yes,,,,,,
53,BIOL,4070U,Advanced Biochemistry,Biology,"A systems oriented course in which biochemical structure, function and metabolism are presented in an integrated fashion. Topics will include protein structure, enzyme regulation, regulation and integration of metabolism, and mechanisms by which a cell’s metabolism responds to the environment.",3,3,,,,BIOL 3080U or BIOL 2040U,,Yes,,,,,,
